Turbidity,Azimuth,Elevation,Normalization,Mean X,Mean Y,Sigma X,Sigma Y,Weight,Volume,MAE,RMSE
2,90,14,9.5,0.407014911,0.04853321,6,0.066642084,0.05288585,1,0.00498974,0.007312377
2,90,14,9.5,4.875178309,2.48E-40,0.892014268,0.212402287,0.107564552,1,0.00498974,0.007312377
2,90,14,9.5,1.570857208,1.30E-46,0.234442622,0.295335187,0.051135822,1,0.00498974,0.007312377
2,90,14,9.5,2.158228674,4.95E-46,6,0.593884972,0.658332635,1,0.00498974,0.007312377
3,90,14,18.5,4.892395628,3.58E-34,0.97536459,0.18336925,0.097343607,1,0.00355442,0.005546793
3,90,14,18.5,1.398963263,0.045564261,1.078581579,0.094015991,0.05873727,1,0.00355442,0.005546793
3,90,14,18.5,1.566170663,8.19E-39,0.219220267,0.242686985,0.085570452,1,0.00355442,0.005546793
3,90,14,18.5,1.566569096,4.36E-41,0.517162582,0.310940924,0.139791554,1,0.00355442,0.005546793
3,90,14,18.5,2.360906412,1.24E-58,6,0.585362624,0.618557117,1,0.00355442,0.005546793
4,90,14,4.5,1.56708847,1.05E-29,0.460025576,0.324003656,0.181177444,1,0.002752312,0.004233746
4,90,14,4.5,1.480388021,0.052213,0.856280063,0.088001369,0.052568281,1,0.002752312,0.004233746
4,90,14,4.5,1.565209899,0.038189175,0.21113363,0.223530253,0.120313898,1,0.002752312,0.004233746
4,90,14,4.5,4.914026723,0.048787115,0.994138779,0.157788315,0.07033913,1,0.002752312,0.004233746
4,90,14,4.5,2.089133235,1.32E-42,6,0.58545982,0.575601247,1,0.002752312,0.004233746
5,90,14,8.5,1.893156861,2.61E-36,6,0.591830811,0.541115117,1,0.002379037,0.003624238
5,90,14,8.5,1.517588266,0.058331893,0.739226493,0.083298567,0.046452427,1,0.002379037,0.003624238
5,90,14,8.5,1.565020455,0.074873486,0.206633626,0.20567239,0.13751968,1,0.002379037,0.003624238
5,90,14,8.5,1.565911034,2.03E-36,0.441002595,0.335634299,0.222080582,1,0.002379037,0.003624238
