Turbidity,Azimuth,Elevation,Normalization,Mean X,Mean Y,Sigma X,Sigma Y,Weight,Volume,MAE,RMSE
2,90,17,4.75,1.584046269,2.94E-25,0.430756198,0.313022905,0.170246385,1,0.003684515,0.005336933
2,90,17,4.75,6.283185307,1.58E-19,6,0.590239247,0.429153819,1,0.003684515,0.005336933
2,90,17,4.75,1.561103994,0.222241443,0.149777223,0.163873277,0.027426459,1,0.003684515,0.005336933
2,90,17,4.75,1.377475529,1.93E-17,0.87691263,0.569078641,0.202917208,1,0.003684515,0.005336933
3,90,17,19.5,6.283185307,0.441889232,1.700495083,0.552441998,0.154289241,1,0.003079761,0.004230186
3,90,17,19.5,1.391573399,0.640474694,1.932799135,0.414460489,0.322054147,1,0.003079761,0.004230186
3,90,17,19.5,1.563050679,0.25777443,0.175258458,0.16071579,0.03403598,1,0.003079761,0.004230186
3,90,17,19.5,0.641216047,4.39E-47,6,0.298403656,0.254063984,1,0.003079761,0.004230186
3,90,17,19.5,1.571164005,0.130781916,0.525716885,0.381880326,0.235556648,1,0.003079761,0.004230186
4,90,17,18.25,1.585074111,0.197476659,0.387524074,0.339870661,0.131183411,1,0.003434643,0.004550087
4,90,17,18.25,6.283185307,0.062587632,5.99999994,0.590254941,0.492954826,1,0.003434643,0.004550087
4,90,17,18.25,1.558974985,0.280860857,0.135195231,0.127605207,0.014654266,1,0.003434643,0.004550087
4,90,17,18.25,1.404393003,0.233741463,0.971477934,0.491474712,0.271753943,1,0.003434643,0.004550087
4,90,17,18.25,2.159251541,1.004441579,5.999995205,0.273305861,0.089453554,1,0.003434643,0.004550087
5,90,17,10,1.214931478,0.914086604,4.284573601,0.336956102,0.198011619,1,0.003980089,0.005454779
5,90,17,10,1.209683358,0.048185658,5.999654963,0.541164363,0.477135743,1,0.003980089,0.005454779
5,90,17,10,1.562569342,0.26567305,0.202620292,0.195129647,0.039517002,1,0.003980089,0.005454779
5,90,17,10,6.283185307,0.352182041,0.630576236,0.678444988,0.028473904,1,0.003980089,0.005454779
5,90,17,10,1.571876976,0.235586845,0.606272965,0.419200492,0.256861733,1,0.003980089,0.005454779
6,90,17,19.25,1.562515857,0.265910876,0.204191332,0.201609462,0.0366726,1,0.004384204,0.005901585
6,90,17,19.25,1.571768354,0.244986797,0.607753643,0.423041863,0.243894993,1,0.004384204,0.005901585
6,90,17,19.25,6.283185307,0.186125467,0.687825198,0.695050079,0.04407632,1,0.004384204,0.005901585
6,90,17,19.25,1.424877026,0.061010347,4.03442327,0.547144667,0.465648026,1,0.004384204,0.005901585
6,90,17,19.25,1.22632129,0.917139629,4.397674079,0.334371184,0.209708061,1,0.004384204,0.005901585
2,90,20,12.75,1.563065304,0.261388334,0.164229807,0.186327668,0.031981657,1,0.003912428,0.005513727
2,90,20,12.75,5.664493526,1.37E-30,1.717361922,0.579072603,0.219061685,1,0.003912428,0.005513727
2,90,20,12.75,1.572781256,3.60E-25,0.489432051,0.35291012,0.224222095,1,0.003912428,0.005513727
2,90,20,12.75,1.001879192,1.32E-45,6,0.171657055,0.192220906,1,0.003912428,0.005513727
2,90,20,12.75,1.315290382,0.231410384,1.513572063,0.529838291,0.332513656,1,0.003912428,0.005513727
3,90,20,4.5,1.413019531,0.649074961,1.903221896,0.411626314,0.324423993,1,0.003275944,0.004489355
3,90,20,4.5,1.563043967,0.306123691,0.17892153,0.166723728,0.033986007,1,0.003275944,0.004489355
3,90,20,4.5,1.571110422,0.157477487,0.529868699,0.383335134,0.235480241,1,0.003275944,0.004489355
3,90,20,4.5,6.283185307,0.460873723,1.662604081,0.547976842,0.149759944,1,0.003275944,0.004489355
3,90,20,4.5,0.720952453,7.40E-46,6,0.299817037,0.256349815,1,0.003275944,0.004489355
4,90,20,15,1.585637141,0.241226053,0.387159098,0.337025748,0.130763544,1,0.003737568,0.00493449
4,90,20,15,6.283185284,0.06042076,5.999989751,0.591648342,0.486603453,1,0.003737568,0.00493449
4,90,20,15,1.5588595,0.331738883,0.135904676,0.127703773,0.013972985,1,0.003737568,0.00493449
4,90,20,15,2.32311875,1.00339464,5.999997308,0.274074001,0.091273769,1,0.003737568,0.00493449
4,90,20,15,1.407668046,0.253465592,0.970714722,0.49073588,0.277386249,1,0.003737568,0.00493449
5,90,20,9.75,1.206542555,0.039997394,5.999567792,0.540741261,0.465359149,1,0.004235555,0.005771749
5,90,20,9.75,6.283185307,0.396099374,0.633090685,0.667908128,0.029601678,1,0.004235555,0.005771749
5,90,20,9.75,1.246726621,0.908860301,4.095308192,0.339033844,0.206283828,1,0.004235555,0.005771749
5,90,20,9.75,1.562432695,0.318365443,0.203015374,0.194171324,0.038760338,1,0.004235555,0.005771749
5,90,20,9.75,1.572072375,0.261627365,0.607925424,0.418152829,0.259995006,1,0.004235555,0.005771749
6,90,20,17.5,1.419200752,0.053266101,4.094833354,0.547863454,0.45567581,1,0.004651844,0.006239521
6,90,20,17.5,1.249063458,0.913139619,4.223169155,0.335891662,0.216908754,1,0.004651844,0.006239521
6,90,20,17.5,1.562367847,0.320320822,0.204602595,0.200070901,0.036085508,1,0.004651844,0.006239521
6,90,20,17.5,6.283185307,0.221127328,0.683801651,0.694698806,0.043976287,1,0.004651844,0.006239521
6,90,20,17.5,1.571998392,0.271626925,0.610129008,0.421672303,0.247353641,1,0.004651844,0.006239521
2,90,23,18.5,1.301248098,0.236058881,1.580392966,0.533065153,0.335540192,1,0.004154829,0.005844043
2,90,23,18.5,1.152233678,1.48E-42,6,0.173351112,0.19395324,1,0.004154829,0.005844043
2,90,23,18.5,1.56335295,0.317817675,0.169419872,0.190347932,0.030794536,1,0.004154829,0.005844043
2,90,23,18.5,5.763261717,1.47E-33,1.751091267,0.584675518,0.212512467,1,0.004154829,0.005844043
2,90,23,18.5,1.572616813,4.17E-26,0.499831578,0.376032132,0.227199565,1,0.004154829,0.005844043
3,90,23,16,6.283185307,0.482421555,1.613394943,0.542584594,0.144031989,1,0.003530788,0.004828324
3,90,23,16,1.570981676,0.185599748,0.534010186,0.38398929,0.234345088,1,0.003530788,0.004828324
3,90,23,16,1.56306478,0.35631355,0.182409374,0.171440945,0.033192051,1,0.003530788,0.004828324
3,90,23,16,0.806916714,1.06E-41,6,0.301883391,0.260576598,1,0.003530788,0.004828324
3,90,23,16,1.435909267,0.659583539,1.884318295,0.408441176,0.327854274,1,0.003530788,0.004828324
4,90,23,15.5,1.408354165,0.272807679,0.973564894,0.49093319,0.281860795,1,0.004104588,0.005404261
4,90,23,15.5,6.283185307,0.058048409,5.99999997,0.592459129,0.480637647,1,0.004104588,0.005404261
4,90,23,15.5,1.558605109,0.383486774,0.138203515,0.128654794,0.013507709,1,0.004104588,0.005404261
4,90,23,15.5,2.51857509,1.001765492,6,0.275197381,0.093998656,1,0.004104588,0.005404261
4,90,23,15.5,1.586739368,0.284875826,0.389596298,0.335478234,0.129995192,1,0.004104588,0.005404261
5,90,23,7.75,1.562252654,0.371638925,0.202629039,0.190606332,0.036736443,1,0.004534422,0.006106425
5,90,23,7.75,1.572425739,0.28839639,0.60743826,0.416151525,0.261743261,1,0.004534422,0.006106425
5,90,23,7.75,1.285841891,0.904066157,3.896575865,0.340765375,0.216480492,1,0.004534422,0.006106425
5,90,23,7.75,1.191460579,0.032529657,5.949877422,0.537932879,0.453652625,1,0.004534422,0.006106425
5,90,23,7.75,6.283185307,0.437526977,0.640962905,0.656832237,0.03138718,1,0.004534422,0.006106425
6,90,23,8.75,6.283185307,0.254044392,0.690293099,0.693983675,0.045576696,1,0.004973515,0.006601179
6,90,23,8.75,1.28040271,0.90939411,4.012538664,0.337097954,0.225368998,1,0.004973515,0.006601179
6,90,23,8.75,1.41698995,0.046309172,4.065405556,0.547003074,0.446676854,1,0.004973515,0.006601179
6,90,23,8.75,1.562220284,0.375510231,0.203162564,0.194376357,0.033803037,1,0.004973515,0.006601179
6,90,23,8.75,1.572204137,0.298777474,0.607561321,0.418947153,0.248574415,1,0.004973515,0.006601179
2,90,26,3.25,1.57264039,1.02E-26,0.507916485,0.399372428,0.227318732,1,0.004404811,0.006157617
2,90,26,3.25,1.231737346,2.01E-29,6,0.175273897,0.197364831,1,0.004404811,0.006157617
2,90,26,3.25,1.56370041,0.376473602,0.174217741,0.188032286,0.028654381,1,0.004404811,0.006157617
2,90,26,3.25,5.868322194,1.13E-31,1.79525707,0.592272175,0.20803952,1,0.004404811,0.006157617
2,90,26,3.25,1.293167761,0.249339289,1.626244465,0.530002591,0.338622536,1,0.004404811,0.006157617
3,90,26,13,1.457390246,0.669464292,1.873777501,0.40587495,0.33308379,1,0.003857562,0.005249005
3,90,26,13,6.283185307,0.502979638,1.560410473,0.537262,0.138463894,1,0.003857562,0.005249005
3,90,26,13,1.563079599,0.408429031,0.185438709,0.173928638,0.031634535,1,0.003857562,0.005249005
3,90,26,13,0.877441651,7.37E-41,6,0.303572712,0.264666129,1,0.003857562,0.005249005
3,90,26,13,1.570863558,0.214985889,0.537628971,0.384228811,0.232151651,1,0.003857562,0.005249005
4,90,26,12.75,1.422132668,0.843765175,3.244967001,0.360410192,0.285936401,1,0.004402198,0.005820862
4,90,26,12.75,1.384761081,0.018133667,6,0.43001568,0.379580066,1,0.004402198,0.005820862
4,90,26,12.75,1.568932166,0.295016767,0.578460907,0.400588729,0.25910912,1,0.004402198,0.005820862
4,90,26,12.75,6.283185307,0.570514004,0.800278356,0.588057683,0.042707527,1,0.004402198,0.005820862
4,90,26,12.75,1.56328281,0.417961494,0.193041066,0.176634514,0.032666885,1,0.004402198,0.005820862
5,90,26,9.25,1.572644463,0.317754922,0.605133474,0.412469523,0.261692259,1,0.004857584,0.006439443
5,90,26,9.25,1.318452311,0.903907463,3.711925892,0.339792379,0.224486075,1,0.004857584,0.006439443
5,90,26,9.25,6.283185307,0.461141195,0.656506749,0.651245135,0.034225476,1,0.004857584,0.006439443
5,90,26,9.25,1.562109383,0.425185963,0.201748251,0.184690602,0.033766637,1,0.004857584,0.006439443
5,90,26,9.25,1.207722412,0.031749969,5.713216217,0.532719661,0.445829553,1,0.004857584,0.006439443
6,90,26,15.25,1.572364658,0.328557152,0.602387025,0.414413302,0.247869558,1,0.005314701,0.006952455
6,90,26,15.25,1.418151769,0.045943139,3.976381355,0.543302901,0.441201984,1,0.005314701,0.006952455
6,90,26,15.25,1.312287107,0.909596628,3.804311796,0.335998242,0.232115298,1,0.005314701,0.006952455
6,90,26,15.25,1.562091786,0.430823553,0.200956281,0.18531127,0.03047771,1,0.005314701,0.006952455
6,90,26,15.25,6.283185307,0.283496549,0.703591597,0.692428534,0.04833545,1,0.005314701,0.006952455
2,90,29,4.25,1.564150144,0.433745047,0.180772074,0.183150219,0.026640041,1,0.004626812,0.006414698
2,90,29,4.25,1.289809466,0.274842457,1.658010432,0.521050716,0.339840979,1,0.004626812,0.006414698
2,90,29,4.25,1.572740758,7.01E-23,0.516849756,0.423142943,0.225246989,1,0.004626812,0.006414698
2,90,29,4.25,5.985588118,3.36E-35,1.849894839,0.602442975,0.204709065,1,0.004626812,0.006414698
2,90,29,4.25,1.24066862,2.18E-20,6,0.178061027,0.203562927,1,0.004626812,0.006414698
3,90,29,17.25,1.570617161,0.246385123,0.54157643,0.384349191,0.229692579,1,0.004253378,0.005736904
3,90,29,17.25,6.283185307,0.525664523,1.489637575,0.531440567,0.130714005,1,0.004253378,0.005736904
3,90,29,17.25,1.563096331,0.462064787,0.188091109,0.174046227,0.029521951,1,0.004253378,0.005736904
3,90,29,17.25,0.953585136,2.71E-39,6,0.306349294,0.27131447,1,0.004253378,0.005736904
3,90,29,17.25,1.480309466,0.682098071,1.885183827,0.402744208,0.338756994,1,0.004253378,0.005736904
4,90,29,11.25,6.283185307,0.582101985,0.775497726,0.588258684,0.041772987,1,0.004722073,0.00618071
4,90,29,11.25,1.365317493,0.026457084,6,0.432630856,0.387387728,1,0.004722073,0.00618071
4,90,29,11.25,1.416098744,0.85883626,3.241850779,0.353576887,0.279957266,1,0.004722073,0.00618071
4,90,29,11.25,1.563127499,0.469896935,0.195464273,0.175222522,0.030784063,1,0.004722073,0.00618071
4,90,29,11.25,1.569403377,0.327664629,0.584549351,0.398787003,0.260097956,1,0.004722073,0.00618071
5,90,29,11.5,1.225318217,0.039443593,5.527380413,0.528555824,0.445465228,1,0.005174529,0.006772355
5,90,29,11.5,1.335610503,0.911151882,3.592146687,0.334947518,0.226091505,1,0.005174529,0.006772355
5,90,29,11.5,1.561975369,0.478191124,0.202461566,0.178876713,0.031057697,1,0.005174529,0.006772355
5,90,29,11.5,6.283185307,0.478317055,0.665075454,0.647694192,0.036339891,1,0.005174529,0.006772355
5,90,29,11.5,1.572883944,0.349743033,0.605926681,0.408270916,0.261045679,1,0.005174529,0.006772355
6,90,29,18.25,1.331854558,0.916022974,3.669690046,0.331686915,0.23417923,1,0.005631563,0.007287303
6,90,29,18.25,1.41837017,0.053773304,3.934849874,0.538687841,0.441134211,1,0.005631563,0.007287303
6,90,29,18.25,6.283185307,0.313249495,0.711184371,0.688062643,0.050182498,1,0.005631563,0.007287303
6,90,29,18.25,1.572565088,0.36115726,0.601521504,0.409484298,0.246793603,1,0.005631563,0.007287303
6,90,29,18.25,1.561976691,0.484721194,0.201141723,0.176880342,0.027710458,1,0.005631563,0.007287303
2,90,2,15,0.665653754,2.13E-22,4.252243312,0.143000201,0.134130867,1,0.002499983,0.003867779
2,90,2,15,1.569228823,4.33E-29,0.546949629,0.305078137,0.252354602,1,0.002499983,0.003867779
2,90,2,15,1.564235446,0.003799749,0.187456283,0.125863553,0.040526298,1,0.002499983,0.003867779
2,90,2,15,5.62998383,8.26E-36,1.4498342,0.281323942,0.0808197,1,0.002499983,0.003867779
2,90,2,15,0.845903985,0.097281163,6,0.588792726,0.492168533,1,0.002499983,0.003867779
3,90,2,7,1.570224233,0.010412279,0.534981695,0.373174328,0.218501603,1,0.002367645,0.003402576
3,90,2,7,0.566472478,1.04E-38,6,0.309425147,0.290666917,1,0.002367645,0.003402576
3,90,2,7,1.563424773,2.94E-24,0.175658452,0.174979688,0.027359234,1,0.002367645,0.003402576
3,90,2,7,6.283185307,0.404754478,1.776139775,0.560859915,0.158850583,1,0.002367645,0.003402576
3,90,2,7,1.304808763,0.663099679,2.212541221,0.402677194,0.304621663,1,0.002367645,0.003402576
4,90,2,18.5,1.340401124,0.134118276,1.036608552,0.516383159,0.233302205,1,0.002561421,0.003442848
4,90,2,18.5,6.283185307,0.069702603,6,0.569910703,0.527492112,1,0.002561421,0.003442848
4,90,2,18.5,2.525552211,0.996473243,5.999999993,0.282031182,0.096721423,1,0.002561421,0.003442848
4,90,2,18.5,1.558784913,2.41E-35,0.146884967,0.161806915,0.014182982,1,0.002561421,0.003442848
4,90,2,18.5,1.587516665,2.96E-09,0.424910087,0.362250972,0.128301278,1,0.002561421,0.003442848
5,90,2,6.5,6.283185307,0.092272623,2.282805214,0.610347081,0.287855006,1,0.0030119,0.003991596
5,90,2,6.5,1.578657144,6.29E-21,0.451577709,0.401863835,0.143033622,1,0.0030119,0.003991596
5,90,2,6.5,0.960603617,0.977967736,5.999999999,0.288082354,0.109156841,1,0.0030119,0.003991596
5,90,2,6.5,1.304205829,0.141028493,1.519812996,0.542246065,0.445977967,1,0.0030119,0.003991596
5,90,2,6.5,1.560955499,4.88E-20,0.153651897,0.165071826,0.013976563,1,0.0030119,0.003991596
6,90,2,3.75,1.562514865,3.89E-15,0.151813888,0.160282491,0.011977049,1,0.003465697,0.004581797
6,90,2,3.75,1.57245283,2.33E-11,0.445687123,0.407954805,0.133074409,1,0.003465697,0.004581797
6,90,2,3.75,6.283185307,0.092884277,1.717640704,0.620041136,0.209845595,1,0.003465697,0.004581797
6,90,2,3.75,1.051435672,0.963481043,6,0.299927056,0.135759638,1,0.003465697,0.004581797
6,90,2,3.75,1.45721926,0.136074274,1.599615517,0.546180475,0.50934331,1,0.003465697,0.004581797
2,90,32,3,6.122392634,7.65E-35,1.917401968,0.611789463,0.202884673,1,0.00487454,0.006625326
2,90,32,3,1.217918084,1.62E-33,6,0.180082157,0.208748168,1,0.00487454,0.006625326
2,90,32,3,1.286165512,0.292877119,1.687062015,0.517436698,0.342558757,1,0.00487454,0.006625326
2,90,32,3,1.57311951,0.022769988,0.52478428,0.437371243,0.221978763,1,0.00487454,0.006625326
2,90,32,3,1.564473487,0.491168786,0.184976,0.177583845,0.023829639,1,0.00487454,0.006625326
3,90,32,13.5,1.569837955,0.281124548,0.548265241,0.385068284,0.229197501,1,0.004715415,0.006274812
3,90,32,13.5,6.283185307,0.556246762,1.366573109,0.524803382,0.115422458,1,0.004715415,0.006274812
3,90,32,13.5,1.509485248,0.705264695,1.959978121,0.396344397,0.341228694,1,0.004715415,0.006274812
3,90,32,13.5,1.078612846,4.11E-22,6,0.314054541,0.286955116,1,0.004715415,0.006274812
3,90,32,13.5,1.563174067,0.516546904,0.190714398,0.172334433,0.027196232,1,0.004715415,0.006274812
